,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
187,10,24,1,0,1,4,1,2,0,1,0,0,2020-12-16 01:19:55.117389,10.35.183.55
188,10,25,2,0,2,4,0,2,0,1,0,0,2020-12-16 01:20:01.136898,10.35.183.55
189,10,26,0,2,1,4,1,1,0,1,2,1,2020-12-16 01:20:08.685260,10.35.183.55
190,10,27,0,2,1,5,2,2,0,1,0,2,2020-12-16 01:20:13.711233,10.35.183.55
191,10,28,2,1,1,3,2,2,0,1,1,1,2020-12-16 01:20:18.251787,10.35.183.55
192,10,29,0,1,2,3,1,1,0,1,0,2,2020-12-16 01:20:26.744487,10.35.183.55
193,10,30,1,2,2,3,2,1,0,2,1,0,2020-12-16 01:20:29.935912,10.35.183.55
194,10,31,1,1,0,3,0,0,0,1,2,1,2020-12-16 01:20:32.723470,10.35.183.55
195,10,32,1,1,0,3,0,0,0,1,2,2,2020-12-16 01:20:35.043729,10.35.183.55
196,10,33,0,1,2,3,2,2,2,1,1,1,2020-12-16 01:20:39.199507,10.35.183.55
197,11,0,0,2,1,0,2,0,0,0,0,0,2020-12-16 01:21:46.000000,10.9.158.174
198,11,1,2,2,0,0,2,0,1,1,0,0,2020-12-16 01:21:48.430063,10.9.158.174
199,11,2,2,2,0,1,1,2,0,1,0,0,2020-12-16 01:21:50.687046,10.9.158.174
200,11,3,1,0,1,1,1,0,0,1,0,0,2020-12-16 01:21:52.658696,10.9.158.174
201,11,4,0,0,0,0,0,1,0,1,0,0,2020-12-16 01:21:55.462836,10.9.158.174
202,11,5,1,2,2,4,2,0,0,2,2,1,2020-12-16 01:21:59.052820,10.9.158.174
203,11,6,0,2,1,4,0,1,0,1,2,1,2020-12-16 01:22:01.039450,10.9.158.174
204,11,7,2,2,0,3,2,0,1,2,2,0,2020-12-16 01:22:03.206645,10.9.158.174
205,11,8,0,1,2,5,1,2,0,2,1,1,2020-12-16 01:22:05.402505,10.9.158.174
206,11,9,2,1,1,5,2,0,1,2,2,1,2020-12-16 01:22:07.484636,10.9.158.174
207,11,10,1,2,2,5,1,2,0,2,1,2,2020-12-16 01:22:09.122886,10.9.158.174
208,11,11,2,2,0,5,0,1,0,2,1,2,2020-12-16 01:22:10.840291,10.9.158.174
209,11,12,0,2,1,5,1,2,0,2,2,2,2020-12-16 01:22:12.545243,10.9.158.174
210,11,13,2,2,0,0,2,2,0,2,2,1,2020-12-16 01:22:14.793155,10.9.158.174
211,11,14,0,1,2,0,1,1,0,2,0,1,2020-12-16 01:22:16.739681,10.9.158.174
212,11,15,1,2,2,0,2,2,0,2,1,1,2020-12-16 01:22:19.226599,10.9.158.174
213,11,16,2,0,2,0,0,0,0,2,0,2,2020-12-16 01:22:23.279082,10.9.158.174
214,11,17,0,1,2,0,1,1,0,2,2,0,2020-12-16 01:22:25.298910,10.9.158.174
215,11,18,1,2,2,0,2,2,0,2,2,0,2020-12-16 01:22:28.637146,10.9.158.174
216,11,19,0,0,0,0,0,0,0,2,2,2,2020-12-16 01:22:30.435989,10.9.158.174
217,11,20,0,2,1,0,2,2,1,2,0,1,2020-12-16 01:22:34.344646,10.9.158.174
218,11,21,2,2,0,0,2,2,1,2,2,2,2020-12-16 01:22:37.860960,10.9.158.174
219,11,22,0,1,2,0,1,2,1,2,2,1,2020-12-16 01:22:40.372669,10.9.158.174
220,11,23,2,2,0,0,2,1,1,2,2,0,2020-12-16 01:22:44.307396,10.9.158.174
221,11,24,0,1,2,0,1,2,1,2,1,2,2020-12-16 01:22:47.266338,10.9.158.174
222,11,0,0,1,2,0,1,0,0,0,0,0,2020-12-16 01:32:46.000000,10.5.206.253
223,11,2,1,1,0,2,2,1,1,1,0,0,2020-12-16 01:32:50.066341,10.37.196.48
224,11,4,2,1,1,3,0,2,2,1,0,0,2020-12-16 01:32:53.552084,10.5.206.253
225,11,6,0,2,1,5,1,0,0,1,2,2,2020-12-16 01:32:58.299808,10.5.206.253
226,11,8,1,1,0,2,2,1,1,2,0,0,2020-12-16 01:33:02.643065,10.5.206.253
227,11,10,2,2,0,2,0,2,2,0,2,0,2020-12-16 01:33:08.605260,10.37.196.48
228,11,12,0,2,1,0,2,2,1,0,0,1,2020-12-16 01:33:29.313168,10.37.196.48
229,11,14,1,0,1,0,0,0,1,0,1,2,2020-12-16 01:33:33.014933,10.5.206.253
230,11,16,2,2,0,5,1,1,2,0,0,2,2020-12-16 01:33:36.970502,10.5.206.253
231,11,18,0,1,2,5,2,2,1,0,0,1,2020-12-16 01:33:48.594818,10.5.206.253
232,11,20,1,2,2,5,0,0,1,0,1,2,2020-12-16 01:33:59.843263,10.5.206.253
233,11,22,2,2,0,5,1,1,2,0,0,2,2020-12-16 01:34:04.483250,10.5.206.253
234,11,24,0,2,1,4,2,2,1,0,2,0,2020-12-16 01:34:12.128182,10.37.196.48
235,12,0,0,2,1,0,2,0,0,0,0,0,2020-12-16 01:40:30.000000,10.181.29.40
236,12,1,0,2,1,0,2,0,1,1,0,0,2020-12-16 01:40:32.261113,10.181.29.40
237,12,2,0,1,2,2,2,1,1,1,0,0,2020-12-16 01:40:33.514259,10.181.29.40
238,12,3,0,1,2,2,2,1,1,1,0,0,2020-12-16 01:40:34.873122,10.181.29.40
